source,split,method,macro_f1,accuracy,roc_auc
rl,test,rl_full_state,0.8676044474818365,0.8677248677248677,0.9328939130746426
baseline,test,equal_fusion,0.8673332160630083,0.8674603174603175,0.932541682486244
baseline,test,confidence_weighted_fusion,0.8673332160630083,0.8674603174603175,0.9339962436203704
ablation,test,rl_full_reliability_state,0.8673332160630083,0.8674603174603175,0.9326433197704956
baseline,test,reliability_weighted_fusion,0.8612064094284793,0.8613756613756614,0.9328661938153012
ablation,test,rl_prediction_confidence,0.8589942254358114,0.858994708994709,0.9184258596610296
supervised_fusion,test,supervised_mlp_fusion_matched,0.854718945966428,0.8547619047619047,0.9291012744139477
ablation,test,rl_probabilities_only,0.8523148018484805,0.8523809523809524,0.9205120839171176
supervised_fusion,test,supervised_mlp_fusion,0.8499976379068706,0.85,0.9290694952630866
baseline,test,text_only,0.838769176548389,0.8388888888888889,0.912095228815486
baseline,test,image_only,0.7769284368078044,0.7791005291005291,0.8572159951886086
baseline,train,text_only,0.9882469041067516,0.9882496162599904,0.9992461068836392
baseline,train,reliability_weighted_fusion,0.9867130765858791,0.9867146562218811,0.9989748228361544
baseline,train,equal_fusion,0.9852841444963916,0.9852855554967448,0.9985389232946164
baseline,train,confidence_weighted_fusion,0.9852841444963916,0.9852855554967448,0.9987701169594458
baseline,train,image_only,0.8244087984142301,0.825543852220399,0.9087164517815433
baseline,validation,equal_fusion,0.8674789617682124,0.8675618746708794,0.9376352395457976
baseline,validation,confidence_weighted_fusion,0.8674789617682124,0.8675618746708794,0.939216853985255
baseline,validation,reliability_weighted_fusion,0.8653564767231192,0.8654555028962612,0.938039380590745
baseline,validation,text_only,0.8477658392613685,0.8478146392838336,0.9185406153428806
baseline,validation,image_only,0.794585550203593,0.7959452343338599,0.8612751884304155
