source,method,macro_f1,accuracy,roc_auc
rl,rl_full_state,0.8676044474818365,0.8677248677248677,0.9328939130746426
baseline,equal_fusion,0.8673332160630083,0.8674603174603175,0.932541682486244
baseline,confidence_weighted_fusion,0.8673332160630083,0.8674603174603175,0.9339962436203704
ablation,rl_full_reliability_state,0.8673332160630083,0.8674603174603175,0.9326433197704956
baseline,reliability_weighted_fusion,0.8612064094284793,0.8613756613756614,0.9328661938153012
ablation,rl_prediction_confidence,0.8589942254358114,0.858994708994709,0.9184258596610296
supervised_fusion,supervised_mlp_fusion_matched,0.854718945966428,0.8547619047619047,0.9291012744139476
ablation,rl_probabilities_only,0.8523148018484805,0.8523809523809524,0.9205120839171176
supervised_fusion,supervised_mlp_fusion,0.8499976379068706,0.85,0.9290694952630866
baseline,text_only,0.838769176548389,0.8388888888888889,0.912095228815486
baseline,image_only,0.7769284368078044,0.7791005291005291,0.8572159951886086
